year,species,port,county,lob_zone,weight_type,weight,value,trip_n,harv_n
2008,Crab Unc,Beals,Washington,UK,Live Pounds,75880,27352,992,55
2008,Crab Unc,Other Maine,Not-Specified,UK,Live Pounds,311009,120700,4254,206
2009,Crab Unc,Beals,Washington,UK,Live Pounds,363571,124334,2769,140
2009,Crab Unc,Deer Isle,Hancock,UK,Live Pounds,1510,561,38,4
2009,Crab Unc,Other Maine,Not-Specified,UK,Live Pounds,327097,129572,2886,179
2009,Crab Unc,Spruce Head,Knox,UK,Live Pounds,15475,6717,65,7
2010,Crab Unc,Other Maine,Not-Specified,UK,Live Pounds,766302,290123,5950,222
2011,Crab Unc,Other Maine,Not-Specified,UK,Live Pounds,211343,91316,1858,95
2012,Crab Unc,Other Maine,Not-Specified,UK,Live Pounds,163407,70353,1538,76
2013,Crab Unc,Other Maine,Not-Specified,UK,Live Pounds,113567,50838,910,40
2014,Crab Unc,Other Maine,Not-Specified,UK,Live Pounds,123983,56918,860,54
2015,Crab Unc,Other Maine,Not-Specified,UK,Live Pounds,78434,43878,543,46
2016,Crab Unc,Other Maine,Not-Specified,UK,Live Pounds,8788,4835,159,18
2017,Crab Unc,Other Maine,Not-Specified,UK,Live Pounds,24208,10859,357,35
